actor_id,name
432,Bette Midler
433,Betty Anne Rees
434,Betty Buckley
435,Betty Grable
436,Betty White
437,Beulah Bondi
438,Beverley Hope Atkinson
439,Beverly Bonner
440,Beverly D'Angelo
441,Beverly Garland
442,Beverly Lunsford
443,Bibi Andersson
444,Biff Manard
445,Biff McGuire
446,Bill Barretta
447,Bill Brochtrup
448,Bill Byrge
449,Bill Campbell
450,Bill Cobbs
451,Bill Coyne
452,Bill Duck
453,Bill Duke
454,Bill Hayes
455,Bill Hunter
456,Bill Kerr
457,Bill Maher
458,Bill McKinney
459,Bill Mumy
460,Bill Murray
461,Bill Nighy
462,Bill Nunn
463,Bill Paxton
464,Bill Pullman
465,Bill Pulmann
466,Bill Thornbury
467,Billie Dove
468,Billie Whitelaw
469,Billy Bob Thornton
470,Billy Chapin
471,Billy Connolly
472,Billy Crudup
473,Billy Crystal
474,Billy Dee Williams
475,Billy Green Bush
476,Billy Jayne
477,Billy Wirth
478,Billy Zane
479,Bin Li
480,Bin Wu
481,Bing Crosby
482,Blair Brown
483,Blythe Danner
484,Bo Derek
485,Bo Hopkins
486,Bob Balaban
487,Bob Gunton
488,Bob Hastings
489,Bob Holt
490,Bob Hope
491,Bob Hoskins
492,Bob Newhart
493,Bob Zmuda
494,Bobby Darin
495,Bobby Di Cicco
496,Bobby Driscoll
497,Bobby Fite
498,Bolo Yeung
499,Bonnie Bartlett
500,Bonnie Bedelia
501,Bonnie Hunt
502,Booker Bradshaw
503,Boris Karloff
504,Boyd Gaines
505,Bożena Dobierzewska
506,Brad Davis
507,Brad Dourif
508,Brad Greenquist
509,Brad Pitt
510,Brad Renfro
511,Bradford Dillman
512,Bradley Gregg
513,Bradley Whitford
514,Brandon De Wilde
515,Brandon Lee
516,Breckin Meyer
517,Brenda Blethyn
518,Brenda De Banzie
519,Brenda Fricker
520,Brenda Marshall
521,Brenda Vaccaro
522,Brendan Fletcher
523,Brendan Fraser
524,Brendan Gleeson
525,Brendan Sexton III
526,Brent Briscoe
527,Brent Hinkley
528,Brent Spiner
529,Brett Halsey
530,Brian Aherne
531,Brian Bennett
532,Brian Blessed
533,Brian Cox
534,Brian Dennehy
535,Brian Donlevy
536,Brian Geraghty
537,Brian Haley
538,Brian Keith
539,Brian Kerwin
540,Brian Narelle
541,Brian O'Halloran
542,Brian Tyler
543,Brian Van Holt
544,Brian Wimmer
545,Brid Brennan
546,Bridget Fonda
547,Bridgette Wilson
548,Brigitte Auber
549,Brigitte Fossey
550,Brigitte Nielsen
551,Brion James
552,Britney Spears
553,Britt Ekland
554,Brittany Murphy
555,Brittany Snow
556,Bronson Pinchot
557,Brooke Adams
558,Brooke Elliott
559,Brooke Shields
560,Bruce Abbott
561,Bruce Bennett
562,Bruce Boxleitner
563,Bruce Cabot
564,Bruce Campbell
565,Bruce Davison
566,Bruce Dern
567,Bruce Gray
568,Bruce Greenwood
569,Bruce Jones
570,Bruce McGill
571,Bruce Spence
572,Bruce Welch
573,Bruce Willis
574,Bruno Kirby
575,Bruno Lawrence
576,Bryan Brown
577,Bryan Cranston
578,Bryan Forbes
579,Bryant Haliday
580,Bubba Smith
581,Buck Henry
582,Bud Cort
583,Bud Tingwell
584,Buddy Ebsen
585,Buddy Hackett
586,Burgess Meredith
587,Burl Ives
588,Burt Kwouk
